,,0
1,pri CU TCRC elas,0.743998654862387
1,pri CU price elas,0.007522808277977042
1,primary_commodity_price_elas_sd,-0.8598483442718242
1,tcrc_elas_sd,0.11469051619077476
1,tcrc_elas_price,0.33422311973191876
1,scrap_spread_elas_sd,0.9043395307372886
1,scrap_spread_elas_primary_commodity_price,0.9076846768469122
1,direct_melt_elas_scrap_spread,0.7336359513983418
1,collection_elas_scrap_price,0.7315639261701009
1,refinery_capacity_fraction_increase_mining,0.10819122762710565
1,incentive_opening_probability,0.4464780986621607
1,mine_cu_margin_elas,0.19535017629159376
1,mine_cost_og_elas,-0.10070049320297077
1,mine_cost_change_per_year,-1.59368800468723
1,primary_price_resources_contained_elas,0.15648129391580634
1,primary_oge_scale,0.3862861359653049
1,initial_ore_grade_decline,-0.3877967972057178
1,sector_specific_dematerialization_tech_growth,-0.0915673580480755
1,sector_specific_price_response,-0.36746522803109977
1,intensity_response_to_gdp,0.1345900746236175
1,region_specific_price_response,-0.36746522803109977
1,incentive_mine_cost_change_per_year,-1.59368800468723
1,Total demand  RMSE,
1,Total demand  R2,
1,Primary commodity price  RMSE,
1,Primary commodity price  R2,
1,Primary supply  RMSE,
1,Primary supply  R2,
1,Total demand test RMSE,
1,Total demand test R2,
1,Primary commodity price test RMSE,
1,Primary commodity price test R2,
1,Primary supply test RMSE,
1,Primary supply test R2,
1,Total demand train RMSE,1.2843605928490434
1,Total demand train R2,-10.10766073374726
1,Primary commodity price train RMSE,0.8215386471354419
1,Primary commodity price train R2,-182.37876927180875
1,Primary supply train RMSE,8.860136531826857
1,Primary supply train R2,-393.29692024923565
1,score,1.2961905503740239
2,pri CU TCRC elas,0.07103671213874635
2,pri CU price elas,0.6715380213647205
2,primary_commodity_price_elas_sd,-0.1559708756833446
2,tcrc_elas_sd,0.6529395501656603
2,tcrc_elas_price,0.28223839625254726
2,scrap_spread_elas_sd,0.6051178651657471
2,scrap_spread_elas_primary_commodity_price,0.3797270102486364
2,direct_melt_elas_scrap_spread,0.48568792343843253
2,collection_elas_scrap_price,0.34744556182605213
2,refinery_capacity_fraction_increase_mining,0.6201630418109196
2,incentive_opening_probability,0.0968015374458899
2,mine_cu_margin_elas,0.7599812478479326
2,mine_cost_og_elas,-0.37955852813342555
2,mine_cost_change_per_year,-4.057446202023305
2,primary_price_resources_contained_elas,0.8086047847780866
2,primary_oge_scale,0.76086508754806
2,initial_ore_grade_decline,-0.03160594305908442
2,sector_specific_dematerialization_tech_growth,0.044598716972324315
2,sector_specific_price_response,-0.1344996917089276
2,intensity_response_to_gdp,0.8770482298880946
2,region_specific_price_response,-0.1344996917089276
2,incentive_mine_cost_change_per_year,-4.057446202023305
2,Total demand  RMSE,
2,Total demand  R2,
2,Primary commodity price  RMSE,
2,Primary commodity price  R2,
2,Primary supply  RMSE,
2,Primary supply  R2,
2,Total demand test RMSE,
2,Total demand test R2,
2,Primary commodity price test RMSE,
2,Primary commodity price test R2,
2,Primary supply test RMSE,
2,Primary supply test R2,
2,Total demand train RMSE,1.2522645582072023
2,Total demand train R2,-9.559438888763273
2,Primary commodity price train RMSE,0.4867430410058604
2,Primary commodity price train R2,-63.371341345571125
2,Primary supply train RMSE,1.0249363228872035
2,Primary supply train R2,-4.276383155940851
2,score,-0.08195367164424001
3,pri CU TCRC elas,0.8278944075051735
3,pri CU price elas,0.7084034059570107
3,primary_commodity_price_elas_sd,-0.3333920768452949
3,tcrc_elas_sd,0.3419357385276436
3,tcrc_elas_price,0.9398458699012004
3,scrap_spread_elas_sd,0.3094381423306012
3,scrap_spread_elas_primary_commodity_price,0.32235926068545545
3,direct_melt_elas_scrap_spread,0.41131256647869124
3,collection_elas_scrap_price,0.13884458858309315
3,refinery_capacity_fraction_increase_mining,0.005466875496938211
3,incentive_opening_probability,0.1890279163875965
3,mine_cu_margin_elas,0.1190402608001156
3,mine_cost_og_elas,-0.6731583385598626
3,mine_cost_change_per_year,-1.2847538232619464
3,primary_price_resources_contained_elas,0.6503982842258539
3,primary_oge_scale,0.9311407390958111
3,initial_ore_grade_decline,-0.43126063487240573
3,sector_specific_dematerialization_tech_growth,0.0361100180261803
3,sector_specific_price_response,-0.23381066318227609
3,intensity_response_to_gdp,-0.103538048033746
3,region_specific_price_response,-0.23381066318227609
3,incentive_mine_cost_change_per_year,-1.2847538232619464
3,Total demand  RMSE,
3,Total demand  R2,
3,Primary commodity price  RMSE,
3,Primary commodity price  R2,
3,Primary supply  RMSE,
3,Primary supply  R2,
3,Total demand test RMSE,
3,Total demand test R2,
3,Primary commodity price test RMSE,
3,Primary commodity price test R2,
3,Primary supply test RMSE,
3,Primary supply test R2,
3,Total demand train RMSE,0.3610210027846261
3,Total demand train R2,0.12236567820702604
3,Primary commodity price train RMSE,0.22353783752810935
3,Primary commodity price train R2,-12.57672893788154
3,Primary supply train RMSE,0.742539087312693
3,Primary supply train R2,-1.7693713574141032
3,score,-0.8156177397895837
4,pri CU TCRC elas,0.024228470274586338
4,pri CU price elas,0.07281294193558682
4,primary_commodity_price_elas_sd,-0.4021587273024957
4,tcrc_elas_sd,0.2422254349150422
4,tcrc_elas_price,0.3613982697110787
4,scrap_spread_elas_sd,0.034349450808408316
